timestamp,latitude,longitude,altitude,speed,course,hacc
1668507393000,45.47759,9.22656,161.003,0.689,252.898,4.000
1668507394000,45.47759,9.22655,161.137,0.690,255.583,4.000
1668507395000,45.47759,9.22654,161.038,0.690,253.327,4.000
1668507396000,45.47759,9.22653,161.019,0.685,255.249,6.000
1668507397000,45.47758,9.22652,161.021,0.679,255.904,4.000
1668507398000,45.47758,9.22652,161.018,0.664,261.036,4.000
1668507399000,45.47758,9.22651,161.100,0.668,265.009,4.000
1668507400000,45.47759,9.22650,161.055,0.677,263.758,4.000
1668507401000,45.47758,9.22649,161.072,0.690,263.234,4.000
1668507402000,45.47758,9.22648,161.134,0.685,265.479,4.000
1668507403000,45.47758,9.22647,161.212,0.695,263.191,4.000
1668507404000,45.47758,9.22646,161.147,0.693,254.372,4.000
1668507405000,45.47758,9.22645,161.175,0.706,254.355,4.000
1668507406000,45.47758,9.22644,161.190,0.686,255.597,4.000
1668507407000,45.47758,9.22643,161.191,0.692,258.686,4.000
1668507408000,45.47758,9.22642,161.205,0.717,258.382,4.000
1668507409000,45.47757,9.22641,161.133,0.718,257.656,4.000
1668507410000,45.47757,9.22640,161.132,0.725,265.239,4.000
1668507411000,45.47757,9.22639,160.979,0.731,261.215,4.000
1668507412000,45.47757,9.22638,161.010,0.734,261.575,4.000
1668507413000,45.47757,9.22637,160.974,0.738,263.507,4.000
1668507414000,45.47757,9.22636,160.967,0.735,264.320,4.000
1668507415000,45.47757,9.22635,160.972,0.737,264.798,4.000
1668507416000,45.47757,9.22634,161.095,0.728,262.396,4.000
1668507417000,45.47757,9.22633,161.046,0.740,267.936,4.000
1668507418000,45.47757,9.22632,160.919,0.744,266.138,4.000
1668507419000,45.47757,9.22631,160.901,0.742,269.260,4.000
1668507420000,45.47757,9.22630,160.913,0.747,266.113,4.000
1668507421000,45.47757,9.22629,160.932,0.739,266.134,4.000
1668507422000,45.47757,9.22628,160.910,0.747,264.872,4.000
1668507423000,45.47758,9.22627,161.073,0.753,270.523,4.000
1668507424000,45.47758,9.22626,161.080,0.763,272.125,4.000
1668507425000,45.47758,9.22625,161.143,0.772,272.931,4.000
1668507426000,45.47758,9.22624,161.126,0.774,272.320,4.000
1668507427000,45.47758,9.22623,161.078,0.761,279.004,4.000
1668507428000,45.47758,9.22622,161.055,0.766,275.766,4.000
1668507429000,45.47758,9.22621,161.018,0.773,275.834,4.000
1668507430000,45.47758,9.22620,160.962,0.782,282.317,4.000
1668507431000,45.47758,9.22619,160.999,0.780,282.874,4.000
1668507432000,45.47758,9.22618,160.994,0.775,288.168,4.000
1668507433000,45.47758,9.22617,161.051,0.759,284.368,4.000
1668507434000,45.47758,9.22617,160.806,0.740,280.630,4.000
1668507435000,45.47759,9.22616,160.878,0.741,285.662,4.000
1668507436000,45.47759,9.22615,160.910,0.738,279.201,4.000
1668507437000,45.47759,9.22614,160.805,0.732,278.740,4.000
1668507438000,45.47759,9.22613,160.791,0.728,285.683,4.000
1668507439000,45.47759,9.22612,160.802,0.721,285.751,4.000
1668507440000,45.47759,9.22612,160.797,0.703,287.363,4.000
1668507441000,45.47760,9.22611,160.850,0.716,288.846,4.000
